BCRC-3,miR-182-5p
CBL.11,miR-6778-5p
CDR1as,miR-1270
CDR1as,miR-1299
CDR1as,miR-7
CDR1as,miR-7-5p
circ_ANKIB1,miR-19b
circ_ARF3,miR-1299
circ_KATNAL1,miR-145-3p
circ_ORC2,miR-19a
circ_SLC19A1,miR-497
circ_SPECC1,miR-526b
circ2174,miR-149
circ-ABCB10,let-7a-5p
circ-ABCB10,miR-1271
circ-ABCB10,miR-203
circ-ABCB10,miR-1252
circ-ABCB10,miR-340-5p
circ-ABCB10,miR-452-5p
circ-ABCB10,miR-556-3p
circABCC2,miR-665
circABCC4,miR-1182
circABCC4,miR-3186-3p
circ-ACACA,miR-1183
circACAP2,miR-29a-3p
circACAP2,miR-29b-3p
circ-ADAM9,miR-217
circADAMTS13,miR-484
circADAMTS14,miR-572
circAGFG1,miR-195-5p
circAGFG1,miR-203
circAGFG1,miR-370-3p
circ-AKT3,miR-296-3p
circ-AKT3,miR-516b-5p
circAMOTL1L,miR-193a-5p
circ-ANAPC7,miR-181
circANKS1B,miR-149
circASAP1,miR-326
circASAP1,miR-532-5p
circ-ASH2L,miR-34a
circASS1,miR-4443
circATP2B1,miR-204-3p
circ-ATP8A2,miR-433
circATRNL1,miR-23a-3p
circATXN7,miR-4319
circBACH2,miR-139-5p
circ-BANP,miR-503
circBIRC6,miR-145
circBMPR2,miR-553
circC3P1,miR-4641
circ-CBFB,miR-607
circCCDC66,miR-33b
circCCDC66,miR-93
circCCT3,miR-613
circ-CDC45,miR-516b
circ-CDC45,miR-527
circ-CDYL,miR-1275
circ-CDYL,miR-150-5p
circ-CDYL,miR-892a
circ-CDYL,miR-328-3p
circCEP128,miR-145-5p
circ-CEP85L,miR-942-5p
circCLK3,miR-320a
circ-CSPP1,miR-1236-3p
circCTDP1,miR-29a-3p
circ-DCAF6,miR-1231
circ-DCAF6,miR-1256
circDENND4C,miR-200b
circDENND4C,miR-200c
circDENND4C,miR-760
circ-DICER1,miR-103a-3p
circ-DICER1,miR-382-5p
circDOCK1,miR-132-3p
circDOCK1,miR-196a-5p
circDYNC1H1,miR-140-5p
circEHMT1,miR-1233-3p
circEIF4G2,miR-218
circ-EIF4G3,miR-335
circ-ENO1,miR-22-3p
circEPSTI1,miR-4753
circEPSTI1,miR-6809
circEPSTI1,miR-892b
circEPSTI1,miR-942
circ-ERBB2,miR-503
circ-ERBB2,miR-637
circ-EZH2,miR-1265
circFAM114A2,miR-762
circ-FAM53B,miR-646
circ-FAM53B,miR-647
circFARSA,miR-330-5p
circFARSA,miR-326
circFAT1,miR-375
circFBLIM1,miR-346
circFGFR1,miR-381-3p
circFGFR3,miR-22-3p
circFNDC3B,miR-1178-3p
circFOXK2,miR-942
circ-FOXM1,miR-1179
circ-FOXM1,miR-143-3p
circ-FOXM1,miR-614
circ-Foxo3,miR-138-5p
circ-Foxo3,miR-432-5p
circ-Foxo3,miR-155
circ-Foxo3,miR-191-5p
circ-FOXP1,miR-875-3p
circ-FOXP1,miR-421
circFUT8,miR-570-3p
circGFRA1,miR-188-3p
circGFRA1,miR-449a
circGUCY1A2,miR-143
circHECTD1,miR-1256
circHIAT1,miR-195-5p
circHIAT1,miR-29c-3p
circHIAT1,miR-29a-3p
circHIAT1,miR-21
circHIAT1,miR-3171
circ-HIPK2,miR-124-3p
circHIPK3,miR-107
circHIPK3,miR-124
circHIPK3,miR-193a-3p
circHIPK3,miR-330-5p
circHIPK3,miR-4288
circHIPK3,miR-654
circ-HOMER1,miR-1322
circ-IARS,miR-122
circIRAK3,miR-3607
circ-ITCH,miR-10a
circ-ITCH,miR-145
circ-ITCH,miR-17
circ-ITCH,miR-224
circ-ITCH,miR-17-5p
circ-ITCH,miR-214
circ-ITCH,miR-22
circ-ITCH,miR-22-3p
circ-ITCH,miR-7
circ-ITCH,miR-216b
circ-ITCH,miR-128
circ-ITCH,miR-20a
circ-ITCH,miR-93-5p
circITGA7,miR-370-3p
circKDM4C,miR-548p
circKIF4A,miR-139-3p
circKIF4A,miR-375
circ-LAMP1,miR-615-5p
circLARP4,miR-424
circLARP4,miR-513b-5p
circLARP4,miR-761
