circ-ANAPC7,acute myeloid leukemia
hsa_circ_0000488,acute myeloid leukemia
hsa_circ_0009910,acute myeloid leukemia
hsa_circ_100290,acute myeloid leukemia
circPAN3,acute myeloid leukemia
circRNA_100290,acute myeloid leukemia
circ-HIPK2,acute promyelocytic leukemia
BCRC-3,bladder cancer
CDR1as,bladder cancer
circCEP128,bladder cancer
circDOCK1,bladder cancer
circFNDC3B,bladder cancer
circ-Foxo3,bladder cancer
circFUT8,bladder cancer
circ-ITCH,bladder cancer
circLPAR1,bladder cancer
circMTO1,bladder cancer
circNR3C1,bladder cancer
circPICALM,bladder cancer
circPTPRA,bladder cancer
circRGNEF,bladder cancer
circRIP2,bladder cancer
circSLC8A1,bladder cancer
circUBXN7,bladder cancer
circUVRAG,bladder cancer
circVANGL1,bladder cancer
circZFR,bladder cancer
circ-ZKSCAN1,bladder cancer
ciRs-6,bladder cancer
cTFRC,bladder cancer
hsa_circ_0137439,bladder cancer
hsa_circ_0000144,bladder cancer
hsa_circ_0000799,bladder cancer
hsa_circ_0001073,bladder cancer
hsa_circ_0001361,bladder cancer
hsa_circ_0001429,bladder cancer
hsa_circ_0018069,bladder cancer
hsa_circ_0058063,bladder cancer
hsa_circ_0068871,bladder cancer
hsa_circ_0071662,bladder cancer
hsa_circ_0075828,bladder cancer
hsa_circ_0137606,bladder cancer
hsa_circ_100242,bladder cancer
hsa_circRNA_102336,bladder cancer
circCTDP1,bladder cancer
circMYLK,bladder cancer
hsa_circ_001598,bladder cancer
hsa_circ_0041103,bladder cancer
hsa_circ_0002768,bladder cancer
circ-PRMT5,bladder cancer
circHIPK3,bladder urothelial carcinoma
circ-ABCB10,breast cancer
circACAP2,breast cancer
circASS1,breast cancer
circBMPR2,breast cancer
circ-CDYL,breast cancer
circDENND4C,breast cancer
circEHMT1,breast cancer
circIRAK3,breast cancer
circKDM4C,breast cancer
circMYO9B,breast cancer
circRNA_000911,breast cancer
circRNA-CER,breast cancer
circ-UBE2D2,breast cancer
hsa_circ_0001098,breast cancer
hsa_circ_0004771,breast cancer
hsa_circ_0005230,breast cancer
hsa_circ_0006528,breast cancer
hsa_circ_0007255,breast cancer
hsa_circ_0007534,breast cancer
hsa_circ_0008039,breast cancer
hsa_circ_001783,breast cancer
hsa_circ_0025202,breast cancer
hsa_circ_0052112,breast cancer
hsa_circ_0061825,breast cancer
hsa_circ_0068033,breast cancer
hsa_circ_0072309,breast cancer
hsa_circ_0072995,breast cancer
hsa_circ_0103552,breast cancer
hsa_circ_0136666,breast cancer
hsa_circ_100219,breast cancer
hsa_circRNA_002178,breast cancer
circHIPK3,breast cancer
circCCDC66,breast cancer
hsa_circ_0001982,breast cancer
hsa_circ_0005239,breast cancer
hsa_circ_0000073,breast cancer
hsa_circ_0000911,breast cancer
hsa_circ_0008717,breast cancer
hsa_circ_0001427,castration-resistant prostate cancer
circAGFG1,cervical cancer
circ-ATP8A2,cervical cancer
circCLK3,cervical cancer
circEIF4G2,cervical cancer
circ-ITCH,cervical cancer
circMTO1,cervical cancer
circRNA_000284,cervical cancer
circRNA_8924,cervical cancer
hsa_circ_0000263,cervical cancer
hsa_circ_0000515,cervical cancer
hsa_circ_0001038,cervical cancer
hsa_circ_0001445,cervical cancer
hsa_circ_0004214,cervical cancer
hsa_circ_0005576,cervical cancer
hsa_circ_0007534,cervical cancer
hsa_circ_0023404,cervical cancer
hsa_circ_0031288,cervical cancer
hsa_circ_0033550,cervical cancer
hsa_circ_0060467,cervical cancer
hsa_circ_0067934,cervical cancer
hsa_circ_0075341,cervical cancer
hsa_circ_103973,cervical cancer
hsa_circ_CSPP1,cervical cancer
hsa_circRNA_101996,cervical cancer
circCCDC66,cervical cancer
hsa_circ_0005230,cholangiocarcinoma
circ-CBFB,chronic lymphocytic leukemia
hsa_circ_0080145,chronic myeloid leukemia
circATP2B1,clear cell renal cell carcinoma
circPCNXL2,clear cell renal cell carcinoma
hsa_circ_001895,clear cell renal cell carcinoma
circHIAT1,clear cell renal cell carcinoma
circ-CDYL,colon cancer
circDENND4C,colon cancer
circPIP5K1A,colon cancer
circRNA-ACAP2,colon cancer
hsa_circ_00001666,colon cancer
hsa_circ_0001313,colon cancer
hsa_circ_0005963,colon cancer
hsa_circ_0007843,colon cancer
hsa_circ_0055625,colon cancer
CBL.11,colorectal cancer
circANKS1B,colorectal cancer
circCCT3,colorectal cancer
hsa_circ_0000284,colorectal cancer
circITGA7,colorectal cancer
circ-NSD2,colorectal cancer
circ-PRMT5,colorectal cancer
circPVT1,colorectal cancer
circRNA_100290,colorectal cancer
circ-ZNF609,colorectal cancer
hsa_circ_0000218,colorectal cancer
hsa_circ_0000523,colorectal cancer
hsa_circ_0001900,colorectal cancer
hsa_circ_0002211,colorectal cancer
hsa_circ_0005100,colorectal cancer
hsa_circ_0006990,colorectal cancer
hsa_circ_0007534,colorectal cancer
hsa_circ_0009361,colorectal cancer
hsa_circ_0026344,colorectal cancer
hsa_circ_0053277,colorectal cancer
hsa_circ_0067835,colorectal cancer
hsa_circ_0071589,colorectal cancer
hsa_circ_0072088,colorectal cancer
hsa_circ_0079993,colorectal cancer
hsa_circ_0136666,colorectal cancer
hsa_circ_0137008,colorectal cancer
hsa_circ_101555,colorectal cancer
circ-ITCH,colorectal cancer
hsa_circ_001569,colorectal cancer
hsa_circ_0020397,colorectal cancer
hsa_circRNA_086376,colorectal cancer
hsa_circRNA_102761,colorectal cancer
hsa_circRNA_105055,colorectal cancer
hsa_circ_0070934,cutaneous squamous cell carcinoma
hsa_circRNA_100833,cutaneous squamous cell carcinoma
hsa_circRNA_100834,cutaneous squamous cell carcinoma
hsa_circ_0127621,diffuse large B-cell lymphoma
circTNFRSF21,endometrial cancer
hsa_circ_0002577,endometrial cancer
hsa_circ_0039569,endometrial cancer
hsa_circ_0061140,endometrial cancer
circ-ABCB10,epithelial ovarian cancer
circ-ITCH,epithelial ovarian cancer
circ-PGAM1,epithelial ovarian cancer
circPVT1,esophageal cancer
circ-RAD23B,esophageal cancer
circRNA_001275,esophageal cancer
hsa_circ_0006168,esophageal cancer
hsa_circ_0000554,esophageal cancer
CDR1as,esophageal squamous cell cancer
circ-PRKCI,esophageal squamous cell cancer
circUBAP2,esophageal squamous cell cancer
circ-VRK1,esophageal squamous cell cancer
hsa_circ_0000654,esophageal squamous cell cancer
hsa_circ_0004771,esophageal squamous cell cancer
hsa_circ_0006168,esophageal squamous cell cancer
hsa_circ_0006948,esophageal squamous cell cancer
hsa_circ_0000337,esophageal squamous cell cancer
circHIPK3,gallbladder cancer
hsa_circ_0008234,gallbladder cancer
CDR1as,gastric cancer
circ_SPECC1,gastric cancer
circATXN7,gastric cancer
circ-CEP85L,gastric cancer
circ-DCAF6,gastric cancer
circ-EIF4G3,gastric cancer
circ-ERBB2,gastric cancer
circHECTD1,gastric cancer
circHIAT1,gastric cancer
circHIPK3,gastric cancer
circMLLT10,gastric cancer
circMTO1,gastric cancer
circ-NOTCH1,gastric cancer
circNRIP1,gastric cancer
circPDSS1,gastric cancer
circ-PRMT5,gastric cancer
circPSMC3,gastric cancer
circPVT1,gastric cancer
circ-RanGAP1,gastric cancer
circRBMS3,gastric cancer
circRHOBTB3,gastric cancer
circRNA_001569,gastric cancer
circRNA_0047905,gastric cancer
circRNA_104433,gastric cancer
circ-SFMBT2,gastric cancer
circYAP1,gastric cancer
circZFR,gastric cancer
ciRS-133,gastric cancer
hsa_circ_0000199,gastric cancer
hsa_circ_0000267,gastric cancer
hsa_circ_0000291,gastric cancer
hsa_circ_0000376,gastric cancer
hsa_circ_0000467,gastric cancer
hsa_circ_0000592,gastric cancer
hsa_circ_0000673,gastric cancer
hsa_circ_0000993,gastric cancer
hsa_circ_0001368,gastric cancer
hsa_circ_0001461,gastric cancer
hsa_circ_0001546,gastric cancer
hsa_circ_0001658,gastric cancer
hsa_circ_0001725,gastric cancer
hsa_circ_0001772,gastric cancer
hsa_circ_0001897,gastric cancer
hsa_circ_0003855,gastric cancer
hsa_circ_0004928,gastric cancer
hsa_circ_0006282,gastric cancer
hsa_circ_0006848,gastric cancer
hsa_circ_0008106,gastric cancer
hsa_circ_0008365,gastric cancer
hsa_circ_0008549,gastric cancer
hsa_circ_0014130,gastric cancer
hsa_circ_0027599,gastric cancer
hsa_circ_0032627,gastric cancer
hsa_circ_0056618,gastric cancer
hsa_circ_0058092,gastric cancer
hsa_circ_0060456,gastric cancer
hsa_circ_006100,gastric cancer
hsa_circ_0067997,gastric cancer
hsa_circ_0081143,gastric cancer
hsa_circ_0092303,gastric cancer
hsa_circ_0092306,gastric cancer
hsa_circ_0001946,gastric cancer
circNF1,gastric cancer
circ-Foxo3,glioblastoma
circMTO1,glioblastoma
circNT5E,glioblastoma
circ-PITX1,glioblastoma
hsa_circ_0001801,glioblastoma
hsa_circ_0001946,glioblastoma
hsa_circ_0043949,glioblastoma
hsa_circ_0074027,glioblastoma
circMMP9,glioblastoma multiforme
circ-CDC45,glioma
circ-DICER1,glioma
circ-EZH2,glioma
circHIPK3,glioma
circ-ITCH,glioma
circKIF4A,glioma
circMAN2B2,glioma
circNFIX,glioma
circ-PITX1,glioma
circ-POSTN,glioma
circPTN,glioma
circ-PTPRZ1,glioma
circSCAF11,glioma
circSMO742,glioma
circ-TTBK2,glioma
circ-ZNF264,glioma
hsa_circ_0000177,glioma
hsa_circ_0001801,glioma
hsa_circ_0002142,glioma
hsa_circ_0005198,glioma
hsa_circ_0007534,glioma
hsa_circ_0008225,glioma
hsa_circ_0012129,glioma
hsa_circ_0014359,glioma
hsa_circ_0015758,glioma
hsa_circ_002136,glioma
hsa_circ_0034642,glioma
hsa_circ_0037251,glioma
hsa_circ_0037655,glioma
hsa_circ_0046701,glioma
hsa_circ_0047688,glioma
hsa_circ_0061868,glioma
hsa_circ_0073237,glioma
hsa_circ_0074026,glioma
hsa_circ_0074362,glioma
hsa_circ_0079593,glioma
hsa_circ_0082374,glioma
hsa_circ_0088732,glioma
hsa_circ_0000594,glioma
circSHKBP1,glioma
hsa_circ_0076248,glioma
circRNA_036186,head and neck squamous cell carcinoma
hsa_circ_0000495,head and neck squamous cell carcinoma
circRNA_100284,hepatic carcinoma
hsa_circ_0015756,hepatoblastoma
hsa_circ_0072391,hepatoblastoma
circ-ABCB10,hepatocellular carcinoma
circABCC2,hepatocellular carcinoma
circADAMTS13,hepatocellular carcinoma
circADAMTS14,hepatocellular carcinoma
circASAP1,hepatocellular carcinoma
circC3P1,hepatocellular carcinoma
circ-CDYL,hepatocellular carcinoma
circDYNC1H1,hepatocellular carcinoma
circFBLIM1,hepatocellular carcinoma
